Responses,LP1,LP2,LP3,LP4,LP5,LP,GP1,GP2,GP3,GP4,GP5,GP6,GP7,GP8,GP,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS,OP1,OP2,OP3,OP4,OP5,OP6,OP,FP1,FP2,FP3,FP4,FP5,FP,SP1,SP2,SP3,SP4,SP5,SP,EP1,EP2,EP3,EP4,EP5,EP6,EP7,EP
85,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
86,5,5,4,5,4,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,4,5,4,5,5,5,5,5,4,5,4,5,5
87,4,4,5,4,5,4,4,5,4,5,4,4,5,4,4,5,4,5,5,5,4,4,5,4,5,4,5,4,4,4,5,4,5,4,5,5,5,4,5,4,4,4,5,4,5,5,4,5,4,5
88,4,5,4,4,5,4,4,5,4,4,5,4,5,5,5,5,4,5,4,5,5,5,5,4,5,4,4,5,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,5,5,4,4,5,4,5
89,4,4,5,4,5,4,5,5,5,4,4,3,4,4,4,5,4,5,4,5,4,4,4,5,4,4,4,5,4,4,5,5,4,5,4,5,5,4,4,5,4,4,4,5,4,4,4,5,4,4
90,5,4,5,4,5,5,5,4,5,4,5,4,5,4,5,5,5,5,4,4,5,5,5,5,5,4,5,5,4,5,5,4,5,4,5,5,5,4,5,5,5,5,5,4,5,5,4,5,5,5
91,4,4,5,4,5,4,5,4,5,5,5,4,5,4,5,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5
92,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,4,5,4,4,4,4,4,4,4,5,4,5,5,4,5,3,3,4,4
93,5,4,3,3,4,4,4,5,5,4,4,4,5,4,4,5,5,4,5,4,3,3,4,5,4,4,5,4,5,5,5,4,4,5,4,4,5,4,4,5,5,5,5,4,5,4,3,3,4,4
94,4,4,3,4,4,4,4,5,5,5,4,5,4,4,5,5,4,4,2,4,4,3,4,5,5,4,5,5,4,5,5,5,5,5,4,5,5,4,5,4,5,5,5,5,4,4,5,5,4,5
95,4,4,5,5,4,4,4,5,5,4,4,5,5,4,5,4,5,4,5,5,4,4,4,4,5,4,5,4,5,5,5,5,4,5,5,5,4,4,4,5,5,4,5,4,5,5,4,5,5,5
96,5,5,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,5,4,4,4,4,4,5,4,4,4,5,4,4,5,4,5,5,4,5,5,5,5,4,5,5,4,5,5,4,4,5,5,5
97,4,5,4,4,5,4,4,4,4,5,4,4,5,5,4,4,5,5,5,4,5,5,5,4,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,5,5,5
98,3,3,4,3,4,3,4,4,4,4,4,5,5,4,4,5,4,5,4,4,4,5,4,5,4,4,5,5,5,5,5,5,5,5,4,5,4,5,4,5,4,4,5,4,4,5,4,5,5,5
99,5,4,4,4,4,4,4,4,5,5,4,4,4,5,4,5,4,4,5,5,4,4,4,5,4,4,5,4,4,4,5,4,5,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4
100,5,2,2,5,4,4,4,5,4,4,5,4,4,5,4,5,4,4,5,4,4,5,4,5,4,5,5,5,4,5,4,5,4,4,5,4,5,4,5,5,4,5,5,4,4,4,4,5,4,4
101,5,4,2,3,4,4,5,4,4,3,4,3,4,3,4,4,4,3,3,3,3,4,3,4,4,4,4,5,5,4,4,4,5,4,4,4,5,4,5,4,5,5,5,4,4,4,4,5,4,4
102,3,4,4,4,4,4,4,4,3,4,4,4,4,5,4,5,4,4,5,5,4,4,4,5,5,4,5,4,4,5,5,4,4,4,5,4,3,4,4,3,4,4,4,4,5,4,4,4,5,4
103,5,3,3,3,4,4,5,5,5,5,5,5,5,5,5,4,4,3,3,4,3,3,3,3,3,4,3,3,4,3,3,4,4,4,4,4,5,5,4,4,4,4,5,5,5,5,4,4,5,5
104,4,3,4,4,3,4,5,5,4,4,5,5,4,5,5,4,5,5,4,4,2,1,4,2,3,3,2,3,4,3,4,5,5,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,4
105,4,4,4,5,4,4,5,5,4,4,4,5,5,4,5,4,3,2,4,4,5,4,4,4,4,5,5,5,4,5,4,5,5,5,4,5,5,4,4,5,5,5,5,5,4,5,4,4,4,4
106,4,4,4,5,4,4,3,4,3,2,3,3,3,4,3,4,5,4,3,3,2,4,4,4,4,5,4,4,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
107,4,4,3,4,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,4,5,5,5,5,5,4,4,5,5,4,4,4,4,4,5,5,4,5,4,4,5,5
108,4,4,4,4,5,4,4,5,5,5,4,4,4,5,5,4,5,5,4,4,4,5,4,4,4,5,5,4,5,5,5,5,5,4,4,5,4,4,4,4,4,4,5,4,4,4,5,4,4,4
109,4,3,5,4,3,4,4,5,4,5,4,5,5,5,5,4,4,4,5,5,4,5,4,5,4,4,5,5,4,5,5,5,5,5,5,5,4,3,3,3,4,3,4,4,4,5,5,4,4,4
110,4,4,5,5,5,5,4,4,5,5,5,5,4,5,5,4,4,5,4,5,5,4,4,5,4,4,5,5,4,5,5,4,5,5,5,5,4,4,5,5,5,5,5,4,5,4,5,5,4,5
111,3,4,3,4,3,3,4,5,4,4,5,4,4,5,4,4,4,4,4,5,4,5,4,5,5,5,5,4,4,5,5,4,4,5,5,5,4,4,5,4,5,4,4,5,4,5,4,5,4,4
112,4,3,4,4,4,4,4,5,5,4,5,4,4,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,4,4,5,4,5,5,5,4,4,5,4,4,5,4,4,3,4,4
113,4,4,4,5,4,4,5,4,5,5,5,4,5,5,5,5,5,4,4,5,5,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,5,5,5,5,4,5
114,3,4,4,5,4,4,5,4,5,5,5,4,5,5,5,5,4,5,4,5,5,4,5,5,4,5,5,4,5,5,5,4,5,4,5,5,5,4,4,5,5,5,4,4,5,4,4,4,5,4
115,3,2,3,2,3,3,4,5,4,4,4,4,4,4,4,5,4,4,2,4,4,3,4,4,4,4,5,4,4,4,5,4,4,4,5,4,4,3,3,4,4,4,3,4,4,4,3,4,4,4
116,5,4,3,2,3,3,4,4,4,4,3,3,4,3,4,3,3,3,2,3,4,4,3,5,5,5,4,5,5,5,4,4,4,5,5,4,5,4,4,5,5,5,4,4,4,4,4,5,4,4
117,5,5,4,5,5,5,5,5,4,5,4,4,4,4,4,4,4,5,4,5,4,4,4,5,5,5,5,4,4,5,4,4,5,4,5,4,5,4,5,4,5,5,5,5,5,5,4,5,4,5
118,3,3,3,3,4,3,4,5,4,5,5,5,5,4,5,5,4,4,3,3,2,2,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,5,4,5,4,2,3,4,4
119,4,4,4,4,5,4,5,4,4,4,4,5,4,5,4,4,4,4,4,5,5,5,4,5,4,5,5,5,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,4,4,4,5,4,4,4
120,3,4,4,4,5,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,5,4,5,5,4,5,4,4,5,5,5,5,5,5,5,4,4,4,4,5,4,5,5,5,5,4,4,4,5
121,3,4,4,4,4,4,5,4,5,2,3,3,3,3,4,4,3,3,3,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,5,5,4,5,5,5,5,5,4,4,5,4,4,4
122,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,5,4,4,4,5,4,4,4,4,4,4,4,5,4,5,4,4,4,5,4,5,5,4,4,4,4,5,4
123,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
124,4,4,4,5,5,4,5,4,4,5,5,4,4,4,4,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5
125,5,4,3,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5
126,3,4,4,5,4,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,4,4,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
127,3,3,2,3,3,3,4,4,4,4,4,5,5,5,4,5,3,4,4,4,4,5,4,4,5,4,5,4,5,5,4,5,4,5,4,4,5,5,4,5,4,5,4,5,5,4,5,5,5,5
128,4,4,4,4,4,4,4,4,4,5,5,5,4,5,5,5,4,5,5,5,4,4,5,4,4,4,2,3,3,3,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,4,5,4,5,5
129,4,4,4,5,4,4,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
130,4,4,4,4,4,4,3,3,4,3,2,3,4,4,3,5,4,4,5,4,5,5,5,5,4,5,5,4,4,5,5,4,4,5,4,4,5,5,4,4,5,5,5,4,4,,4,4,5,4
131,4,3,4,4,4,4,5,4,4,5,4,4,5,5,5,5,4,5,4,5,5,4,5,5,4,4,5,5,4,5,5,5,4,5,5,5,5,5,4,4,4,4,5,4,4,4,4,5,4,4
